submission_id,language,tier,problem_name,difficulty,source_platform,file_path
cc_train_1012_E__Cycle_sort_0,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_0.cpp
cc_train_1012_E__Cycle_sort_1,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_1.cpp
cc_train_1012_E__Cycle_sort_2,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_2.cpp
cc_train_1012_E__Cycle_sort_3,Java,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\Java\Heavy\cc_train_1012_E__Cycle_sort_3.java
cc_train_1012_E__Cycle_sort_4,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_4.cpp
cc_train_1012_E__Cycle_sort_5,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_5.cpp
cc_train_1012_E__Cycle_sort_6,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_6.cpp
cc_train_1012_E__Cycle_sort_7,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_7.cpp
cc_train_1012_E__Cycle_sort_8,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_8.cpp
cc_train_1012_E__Cycle_sort_9,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_9.cpp
cc_train_1012_E__Cycle_sort_10,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_10.cpp
cc_train_1012_E__Cycle_sort_11,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_11.cpp
cc_train_1012_E__Cycle_sort_12,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_12.cpp
cc_train_1012_E__Cycle_sort_13,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_13.cpp
cc_train_1012_E__Cycle_sort_14,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_14.cpp
cc_train_1012_E__Cycle_sort_15,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_15.cpp
cc_train_1012_E__Cycle_sort_16,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_16.cpp
cc_train_1012_E__Cycle_sort_17,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_17.cpp
cc_train_1012_E__Cycle_sort_18,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_18.cpp
cc_train_1012_E__Cycle_sort_19,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_19.cpp
cc_train_1012_E__Cycle_sort_20,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_20.cpp
cc_train_1012_E__Cycle_sort_21,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_21.cpp
cc_train_1012_E__Cycle_sort_22,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_22.cpp
cc_train_1012_E__Cycle_sort_23,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_23.cpp
cc_train_1012_E__Cycle_sort_24,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_24.cpp
cc_train_1012_E__Cycle_sort_25,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_25.cpp
cc_train_1012_E__Cycle_sort_26,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_26.cpp
cc_train_1012_E__Cycle_sort_27,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_27.cpp
cc_train_1012_E__Cycle_sort_28,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_28.cpp
cc_train_1012_E__Cycle_sort_29,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_29.cpp
cc_train_1012_E__Cycle_sort_30,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_30.cpp
cc_train_1012_E__Cycle_sort_31,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_31.cpp
cc_train_1012_E__Cycle_sort_32,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_32.cpp
cc_train_1012_E__Cycle_sort_33,Java,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\Java\Heavy\cc_train_1012_E__Cycle_sort_33.java
cc_train_1012_E__Cycle_sort_34,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_34.cpp
cc_train_1012_E__Cycle_sort_35,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_35.cpp
cc_train_1012_E__Cycle_sort_36,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_36.cpp
cc_train_1012_E__Cycle_sort_37,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_37.cpp
cc_train_1012_E__Cycle_sort_38,C++,Heavy,1012_E. Cycle sort,11,2,./codecontests_subset\C++\Heavy\cc_train_1012_E__Cycle_sort_38.cpp
